0021 B Bb 2002 Berdsk 2
0005 E Ee 566666 Omsk 5
0003 C Cc 23 Ob 3
0004 D Dd 87 Inya 4
0002 A Aa 1990 Novos 1
0001 B Bb 2002 Berdsk 2
0000 B Bb 2072 Berdsk 2
0011 A Aa 1990 Novos 1
0031 C Cc 23 Ob 3
0041 D Dd 87 Inya 4
0051 E Ee 566666 Omsk 5
0022 B Bb 2002 Berdsk 2
0033 C Cc 23 Ob 3
0032 C Cc 23 Ob 3
0042 D Dd 87 Inya 4
0052 E Ee 566666 Omsk 5
0014 A Aa 1990 Novos 1
0012 A Aa 1990 Novos 1
0013 A Aa 1990 Novos 1
0023 B Bb 2002 Berdsk 2
0043 D Dd 87 Inya 4
0053 E Ee 566666 Omsk 5
0024 B Bb 2002 Berdsk 2
0034 C Cc 23 Ob 3
0044 D Dd 87 Inya 4
0054 E Ee 566666 Omsk 5
0015 A Aa 1990 Novos 1
0025 B Bb 2002 Berdsk 2
0035 C Cc 23 Ob 3
0045 D Dd 87 Inya 4
0055 E Ee 566666 Omsk 5
0016 A Aa 1990 Novos 1
0026 B Bb 2002 Berdsk 2
0036 C Cc 23 Ob 3
0046 D Dd 87 Inya 4
0056 E Ee 566666 Omsk 5
0017 A Aa 1990 Novos 1
0027 B Bb 2002 Berdsk 2
0037 C Cc 23 Ob 3
0047 D Dd 87 Inya 4
0057 E Ee 566666 Omsk 5
0018 A Aa 1990 Novos 1
0028 B Bb 2002 Berdsk 2
0038 C Cc 23 Ob 3
0048 D Dd 87 Inya 4
0058 E Ee 566666 Omsk 5
0019 A Aa 1990 Novos 1
0029 B Bb 2002 Berdsk 2
0039 C Cc 23 Ob 3
0049 D Dd 87 Inya 4
0059 E Ee 566666 Omsk 5
0110 A Aa 1990 Novos 1
0210 B Bb 2002 Berdsk 2
0310 C Cc 23 Ob 3
0410 D Dd 87 Inya 4
0510 E Ee 566666 Omsk 5
0111 A Aa 1990 Novos 1
0211 B Bb 2002 Berdsk 2
0311 C Cc 23 Ob 3
0411 D Dd 87 Inya 4
0511 E Ee 566666 Omsk 5
0112 A Aa 1990 Novos 1
0212 B Bb 2002 Berdsk 2
0312 C Cc 23 Ob 3
0412 D Dd 87 Inya 4
0512 E Ee 566666 Omsk 5
0120 A Aa 1990 Novos 1
0220 B Bb 2002 Berdsk 2
0320 C Cc 23 Ob 3
0420 D Dd 87 Inya 4
0520 E Ee 566666 Omsk 5
0130 A Aa 1990 Novos 1
0230 B Bb 2002 Berdsk 2
0330 C Cc 23 Ob 3
0430 D Dd 87 Inya 4
0530 E Ee 566666 Omsk 5
0140 A Aa 1990 Novos 1
0240 B Bb 2002 Berdsk 2
0340 C Cc 23 Ob 3
0440 D Dd 87 Inya 4
0540 E Ee 566666 Omsk 5
0150 A Aa 1990 Novos 1
0250 B Bb 2002 Berdsk 2
0350 C Cc 23 Ob 3
0450 D Dd 87 Inya 4
0550 E Ee 566666 Omsk 5
0160 A Aa 1990 Novos 1
0260 B Bb 2002 Berdsk 2
0360 C Cc 23 Ob 3
0460 D Dd 87 Inya 4
0560 E Ee 566666 Omsk 5
0170 A Aa 1990 Novos 1
0270 B Bb 2002 Berdsk 2
0370 C Cc 23 Ob 3
0470 D Dd 87 Inya 4
0570 E Ee 566666 Omsk 5
0180 A Aa 1990 Novos 1
0280 B Bb 2002 Berdsk 2
0380 C Cc 23 Ob 3
0480 D Dd 87 Inya 4
0580 E Ee 566666 Omsk 5
0190 A Aa 1990 Novos 1
0290 B Bb 2002 Berdsk 2
0390 C Cc 23 Ob 3
0490 D Dd 87 Inya 4
0590 E Ee 566666 Omsk 5
1100 A Aa 1990 Novos 1
2100 B Bb 2002 Berdsk 2
3100 C Cc 23 Ob 3
4100 D Dd 87 Inya 4
5100 E Ee 566666 Omsk 5
